trip_id,start_time,end_time,headway_secs
19J-GLOBAUX-00-A_2_1,12:19:55,18:57:40,385
19J-GLOBAUX-00-A_2_1,18:57:40,20:18:20,440
19J-GLOBAUX-00-A_2_1,20:18:20,20:50:20,480
19J-GLOBAUX-00-A_2_1,20:50:20,21:32:50,510
19J-GLOBAUX-00-A_2_1,21:32:50,23:26:50,570
19J-GLOBAUX-00-A_2_1,23:26:50,24:26:50,600
19J-GLOBAUX-00-A_2_1,24:26:50,24:37:15,625
19J-GLOBAUX-00-A_2_1,24:37:15,25:08:45,630
19J-GLOBAUX-00-A_2_0,05:30:00,08:16:30,555
19J-GLOBAUX-00-A_2_0,08:16:30,10:32:30,510
19J-GLOBAUX-00-A_2_0,10:32:30,12:44:30,440
19J-GLOBAUX-00-A_2_0,12:44:30,13:11:10,400
19J-GLOBAUX-00-A_2_0,13:11:10,19:29:45,385
19J-GLOBAUX-00-A_2_0,19:29:45,21:12:25,440
19J-GLOBAUX-00-A_2_0,21:12:25,21:44:25,480
19J-GLOBAUX-00-A_2_0,21:44:25,22:09:55,510
19J-GLOBAUX-00-A_2_0,22:09:55,22:18:40,525
19J-GLOBAUX-00-A_2_0,22:18:40,23:41:55,555
19J-GLOBAUX-00-A_2_0,23:41:55,24:10:25,570
19J-GLOBAUX-00-A_2_0,24:10:25,24:20:00,575
19J-GLOBAUX-00-A_2_0,24:20:00,25:00:00,600
19J-GLOBAUX-00-A_4_0,05:30:00,25:10:00,600
19J-GLOBAUX-00-A_4_0,25:10:00,25:18:30,510
19J-GLOBAUX-00-A_4_0,25:18:30,25:30:00,690
19J-GLOBAUX-00-A_4_1,05:30:00,25:30:00,600
19J-GLOBAUX-00-A_5_3,05:30:00,08:49:30,630
19J-GLOBAUX-00-A_5_3,08:49:30,08:59:45,615
19J-GLOBAUX-00-A_5_3,08:59:45,20:11:15,510
19J-GLOBAUX-00-A_5_3,20:11:15,20:21:00,585
19J-GLOBAUX-00-A_5_3,20:21:00,25:15:00,630
19J-GLOBAUX-00-A_5_2,05:30:00,09:21:00,630
19J-GLOBAUX-00-A_5_2,09:21:00,20:32:30,510
19J-GLOBAUX-00-A_5_2,20:32:30,20:42:00,570
19J-GLOBAUX-00-A_5_2,20:42:00,25:15:00,630
19J-GLOBAUX-00-I_1_3,05:30:00,07:25:30,630
19J-GLOBAUX-00-I_1_3,07:25:30,08:40:10,560
19J-GLOBAUX-00-I_1_3,08:40:10,12:19:00,505
19J-GLOBAUX-00-I_1_3,12:19:00,15:00:00,460
19J-GLOBAUX-00-I_1_3,15:00:00,18:23:00,420
19J-GLOBAUX-00-I_1_3,18:23:00,18:31:20,500
19J-GLOBAUX-00-I_1_3,18:31:20,22:18:35,505
19J-GLOBAUX-00-I_1_3,22:18:35,22:29:00,625
19J-GLOBAUX-00-I_1_3,22:29:00,24:03:30,630
19J-GLOBAUX-00-I_1_3,24:03:30,24:38:00,690
19J-GLOBAUX-00-I_1_2,05:30:00,08:07:30,630
19J-GLOBAUX-00-I_1_2,08:07:30,09:22:10,560
19J-GLOBAUX-00-I_1_2,09:22:10,09:30:45,515
19J-GLOBAUX-00-I_1_2,09:30:45,11:37:00,505
19J-GLOBAUX-00-I_1_2,11:37:00,14:18:00,460
19J-GLOBAUX-00-I_1_2,14:18:00,18:23:00,420
19J-GLOBAUX-00-I_1_2,18:23:00,21:36:35,505
19J-GLOBAUX-00-I_1_2,21:36:35,21:45:50,555
19J-GLOBAUX-00-I_1_2,21:45:50,23:00:30,560
19J-GLOBAUX-00-I_1_2,23:00:30,24:35:00,630
19J-GLOBAUX-00-I_2_1,05:29:45,08:25:30,555
19J-GLOBAUX-00-I_2_1,08:25:30,08:34:35,545
19J-GLOBAUX-00-I_2_1,08:34:35,11:26:20,515
19J-GLOBAUX-00-I_2_1,11:26:20,13:17:10,475
19J-GLOBAUX-00-I_2_1,13:17:10,17:02:40,410
19J-GLOBAUX-00-I_2_1,17:02:40,17:09:40,420
19J-GLOBAUX-00-I_2_1,17:09:40,18:37:35,440
19J-GLOBAUX-00-I_2_1,18:37:35,20:11:35,470
19J-GLOBAUX-00-I_2_1,20:11:35,21:45:05,510
19J-GLOBAUX-00-I_2_1,21:45:05,22:12:50,555
19J-GLOBAUX-00-I_2_1,22:12:50,22:22:15,565
19J-GLOBAUX-00-I_2_1,22:22:15,24:38:45,630
19J-GLOBAUX-00-I_2_0,05:30:00,08:44:15,555
19J-GLOBAUX-00-I_2_0,08:44:15,12:10:15,515
19J-GLOBAUX-00-I_2_0,12:10:15,14:01:05,475
19J-GLOBAUX-00-I_2_0,14:01:05,17:46:35,410
19J-GLOBAUX-00-I_2_0,17:46:35,19:29:15,440
19J-GLOBAUX-00-I_2_0,19:29:15,20:55:25,470
19J-GLOBAUX-00-I_2_0,20:55:25,22:28:55,510
19J-GLOBAUX-00-I_2_0,22:28:55,22:56:40,555
19J-GLOBAUX-00-I_2_0,22:56:40,23:06:00,560
19J-GLOBAUX-00-I_2_0,23:06:00,24:30:00,630
19J-GLOBAUX-00-I_4_0,05:30:00,24:40:00,600
19J-GLOBAUX-00-I_4_0,24:40:00,24:48:30,510
19J-GLOBAUX-00-I_4_0,24:48:30,25:00:00,690
19J-GLOBAUX-00-I_4_1,05:30:00,25:00:00,600
19J-GLOBAUX-00-I_5_3,05:30:00,08:49:30,630
19J-GLOBAUX-00-I_5_3,08:49:30,08:59:45,615
19J-GLOBAUX-00-I_5_3,08:59:45,19:20:15,510
19J-GLOBAUX-00-I_5_3,19:20:15,19:30:00,585
19J-GLOBAUX-00-I_5_3,19:30:00,24:45:00,630
19J-GLOBAUX-00-I_5_2,05:30:00,09:21:00,630
19J-GLOBAUX-00-I_5_2,09:21:00,19:41:30,510
19J-GLOBAUX-00-I_5_2,19:41:30,19:51:00,570
19J-GLOBAUX-00-I_5_2,19:51:00,24:45:00,630
